,PageID,PageName,Disclaimer,AmountSpent,Numberofads
12211,104324137602122,Romain Baubry - Rassemblement National de Sénas,These ads ran without a disclaimer,,1
12219,1398330723595935,PCF Seclin et Environs,These ads ran without a disclaimer,,1
12237,492614127512428,En Marche Pour La Vie,These ads ran without a disclaimer,,1
12281,483550434999306,Front Populaire de Tunisie - section France,These ads ran without a disclaimer,,1
12310,1636163139853687,Comité LREM Acigné Thorigné,These ads ran without a disclaimer,,1
12336,1291885857509087,PCF Saint Maur des Fossés,These ads ran without a disclaimer,,1
12661,367822060363414,Rassemblement National Plan-de-Cuques,These ads ran without a disclaimer,,1
12735,1483274698669361,Section PCF de Fontenay sous Bois,Franck David Mora,,3
12756,105773788124129,Rassemblement National st Gely du Fesc,These ads ran without a disclaimer,,1
12820,1907864199499996,Parti Socialiste de Châtillon 92,These ads ran without a disclaimer,,1
12821,103601671388344,Les Jeunes Républicains de l'Orne,These ads ran without a disclaimer,,1
13022,1850896361855245,PCF Haubourdin & environs,These ads ran without a disclaimer,,1
13097,101579405308515,Rassemblement National Sarreguemines,These ads ran without a disclaimer,,5
13266,110791203998997,Canton de Marly - Rassemblement National,These ads ran without a disclaimer,,1
13541,247522811982633,Rassemblement National 62,These ads ran without a disclaimer,,1
13774,101089075597239,Resistance En Marche,These ads ran without a disclaimer,,1
14435,1402059883430267,PCF Bergerac,These ads ran without a disclaimer,,1
14545,108437051415866,Les Républicains Vaudais,These ads ran without a disclaimer,,1
14594,162022744399366,Comité En Marche Grand Pays Viennois,These ads ran without a disclaimer,,1
14866,100107021895329,PCF Brie Marne MorinS,These ads ran without a disclaimer,,1
15024,115003280208704,Rassemblement National Canton de Monteux,These ads ran without a disclaimer,,2
15032,1815730175423264,Parti Socialiste Guyanais,These ads ran without a disclaimer,,1
15058,214841568952770,Rassemblement National 82,These ads ran without a disclaimer,,1
15122,112658780618045,En Marche - Réveillons Pierrefitte,Karl Stephen Moutsi,,1
15298,106671596575724,En Marche Pilat-Ondaine-Forez Sud,These ads ran without a disclaimer,,1
15323,1638410342874072,Rassemblement National 78,These ads ran without a disclaimer,,1
15496,105490951873382,Rassemblement National - Canton de Valréas,These ads ran without a disclaimer,,4
15860,104290997661916,Rassemblement National Montigny-en-Gohelle 2020,These ads ran without a disclaimer,,1
15953,413444975640,Les Jeunes Socialistes de la Haute-Garonne,These ads ran without a disclaimer,,1
16709,101182528344690,UPR Nouvelle-Aquitaine,These ads ran without a disclaimer,,1
17041,1681562631894901,La République En Marche La Ciotat,These ads ran without a disclaimer,,1
17062,1403613256606802,PCF Vendomois,These ads ran without a disclaimer,,1
17531,1521708724757738,Rassemblement National Polynésien,These ads ran without a disclaimer,,1
17760,107483827350107,Athis-Mons En Marche,These ads ran without a disclaimer,,1
19344,336851173351900,En Marche Aix-les-Bains,These ads ran without a disclaimer,,1
19773,1561804270788242,Les Républicains - Fédération du Doubs,These ads ran without a disclaimer,,1
19890,101021428744415,La présidence de l’UDI avec Rosalie Kerdo Belibi,These ads ran without a disclaimer,,1
20385,304430916835515,Rassemblement National Rivesaltes,These ads ran without a disclaimer,,1
20622,1116475081827912,Bonneuil  En Marche,These ads ran without a disclaimer,,1
21068,963860806990353,Jeunes Républicains de l'Aube,These ads ran without a disclaimer,,1
24117,2112804408743217,Parti Socialiste du Sénégal en France,These ads ran without a disclaimer,,1
27041,325115717523649,Les Républicains Ormesson 94,These ads ran without a disclaimer,,1
27135,550159608457473,Les Républicains  Calédoniens,These ads ran without a disclaimer,,1
27641,102140811529036,Rassemblement National canton Montpellier-4,These ads ran without a disclaimer,,1
